duke
fg_pct,.458,59th,.457,.447,.577,.416,.421,.408,.434,.453,.583,.472,.415,1.000,0
fga,1962,63rd
fg2_pct,.503,83rd,.516,.471,.580,.476,.494,.412,.488,.523,.583,.471,.415,1.000,0
fg2a,1286,100th
fg3_pct,.373,50th,.385,.396,.000,.383,.364,.395,.315,.310,0,.500,0,0,0
fg3a,676,65th
ft_pct,.755,13th,.838,.770,.696,.873,.738,.638,.814,.654,.706,.600,.545,0,.000
fta,861,25th
pts_per_g,81.8,4th,18.2,13.3,10.5,9.5,7.4,7.3,6.8,4.9,4.5,2.3,1.8,0.5,0.0
orb,442,47th
drb,830,78th
ast,448,107th
stl,259,50th
blk,133,88th
tov,452,209th
pf,731,12th
opp_fg_pct,.409,62nd
opp_fg2_pct,.455,84th
opp_fg3_pct,.336,148th
opp_orb,390,242nd
opp_drb,728,123rd
opp_ast,446,264th
opp_stl,217,191st
opp_blk,141,321st
opp_tov,504,65th
opp_pf,697,317th
opp_pts_per_g,72.8,283rd
SOS:,7.75
ORtg:,112.9
DRtg:,100.5
robert-morris
g,35,0,35,0,35,34,35,35,11,35,35,35,33,3,29,30,4,3
fg_pct,.436,165th,.430,.505,.420,.388,.333,.372,.533,.423,.595,.375,.411,.500,.000,.000
fga,1868,108th
fg2_pct,.467,219th,.410,.512,.448,.458,.370,.381,.530,.452,.603,.500,.434,.500,.000,.000
fg2a,1322,76th
fg3_pct,.361,90th,.443,.000,.333,.273,.317,.351,1.000,.386,.000,.250,.000,0,.000,.000
fg3a,546,205th
ft_pct,.666,250th,.851,.389,.745,.589,.700,.592,.687,.773,.776,.500,.750,.500,.500,.250
fta,859,27th
pts_per_g,68.5,186th,13.6,9.8,8.3,8.0,7.6,7.3,6.6,5.7,4.0,2.7,1.8,1.8,0.8,0.3
orb,412,80th
drb,815,91st
ast,433,135th
stl,267,40th
blk,80,269th
tov,521,322nd
pf,757,6th
opp_fg_pct,.407,55th
opp_fg2_pct,.460,110th
opp_fg3_pct,.321,73rd
opp_orb,392,247th
opp_drb,780,236th
opp_ast,418,190th
opp_stl,246,302nd
opp_blk,119,246th
opp_tov,549,20th
opp_pf,701,318th
opp_pts_per_g,65.9,106th
SOS:,-6.15
ORtg:,101.0
DRtg:,97.1
kentucky
g,38,0,38,0,37,38,38,37,38,35,29,38,36,22,34,17,16
fg_pct,.478,17th,.461,.558,.575,.462,.400,.365,.419,.527,.339,.462,.667,.316,.118
fga,2228,5th
fg2_pct,.545,9th,.509,.565,.626,.516,.494,.417,.524,.539,.516,.455,.692,.250,.000
fg2a,1531,12th
fg3_pct,.331,227th,.325,.167,.348,.383,.336,.347,.318,.000,.161,.500,.000,.364,.133
fg3a,697,52nd
ft_pct,.668,243rd,.754,.604,.692,.667,.795,.760,.590,.524,.606,1.000,.615,1.000,0
fta,971,3rd
pts_per_g,79.3,17th,16.6,15.1,14.3,11.3,6.5,6.0,3.8,3.4,1.9,1.3,1.3,1.2,0.4
orb,548,6th
drb,1036,1st
ast,573,10th
stl,279,28th
blk,273,1st
tov,547,336th
pf,641,78th
opp_fg_pct,.378,3rd
opp_fg2_pct,.411,7th
opp_fg3_pct,.313,48th
opp_orb,488,344th
opp_drb,789,254th
